"Authors","Author full names","Author(s) ID","Title","Volume","Issue","Art. No.","Page start","Page end","Page count","DOI","Link","Abstract","Author Keywords","Index Keywords","Funding Details","Publisher","PubMed ID","EID"
"","","","30th International Conference on Neural Information Processing, ICONIP 2023","14449 LNCS","","","","","3459","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177829395&partnerID=40&md5=2c68efa2f1a85a474ed80ce2170e721e","The proceedings contain 256 papers. The special focus in this conference is on Neural Information Processing. The topics include: RPUC: Semi-supervised 3D Biomedical Image Segmentation Through Rectified Pyramid Unsupervised Consistency; a Causality-Based Interpretable Cognitive Diagnosis Model; a Deep Learning Framework with Pruning RoI Proposal for Dental Caries Detection in Panoramic X-ray Images; ensemble of Randomized Neural Network and Boosted Trees for Eye-Tracking-Based Driver Situation Awareness Recognition and Interpretation; task Scheduling with Improved Particle Swarm Optimization in Cloud Data Center; Naturalistic Emotion Recognition Using EEG and Eye Movements; A DNN-Based Learning Framework for Continuous Movements Segmentation; RPF3D: Range-Pillar Feature Deep Fusion 3D Detector for Autonomous Driving; CMCI: A Robust Multimodal Fusion Method for Spiking Neural Networks; neighborhood Learning for Artificial Bee Colony Algorithm: A Mini-survey; channel Attention Separable Convolution Network for Skin Lesion Segmentation; correlated Online k-Nearest Neighbors Regressor Chain for Online Multi-output Regression; neural-Symbolic Recommendation with Graph-Enhanced Information; evolutionary Computation for Berth Allocation Problems: A Survey; user Stance Aware Network for Rumor Detection Using Semantic Relation Inference and Temporal Graph Convolution; multi-task Learning Network for Automatic Pancreatic Tumor Segmentation and Classification with Inter-Network Channel Feature Fusion; Fast and Efficient Brain Extraction with Recursive MLP Based 3D UNet; privacy-Preserving Travel Time Prediction for Internet of Vehicles: A Crowdsensing and Federated Learning Approach; block-Matching Multi-pedestrian Tracking; An Improved Target Searching and Imaging Method for CSAR; RMPE:Reducing Residual Membrane Potential Error for Enabling High-Accuracy and Ultra-low-latency Spiking Neural Networks; A Fine-Grained Domain Adaptation Method for Cross-Session Vigilance Estimation in SSVEP-Based BCI; a Hip-Knee Joint Coordination Evaluation System in Hemiplegic Individuals Based on Cyclogram Analysis; domain-Invariant Task Optimization for Cross-domain Recommendation; FLDNet: A Foreground-Aware Network for Polyp Segmentation Leveraging Long-Distance Dependencies; contrastive Hierarchical Gating Networks for Rating Prediction; preface.","","","","Springer Science and Business Media Deutschland GmbH","","2-s2.0-85177829395"
"Apostolopoulos I.D.; Papathanasiou N.D.; Papandrianos N.I.; Papageorgiou E.I.; Panayiotakis G.S.","Apostolopoulos, Ioannis D. (57195641603); Papathanasiou, Nikolaos D. (23995562200); Papandrianos, Nikolaos I. (24779749100); Papageorgiou, Elpiniki I. (56429800100); Panayiotakis, George S. (7006755481)","57195641603; 23995562200; 24779749100; 56429800100; 7006755481","Deep Learning Assessment for Mining Important Medical Image Features of Various Modalities","12","10","2333","","","","10.3390/diagnostics12102333","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140777302&doi=10.3390%2fdiagnostics12102333&partnerID=40&md5=a89512a0ce1f2fb4400dbafd50a79d7c","Deep learning (DL) is a well-established pipeline for feature extraction in medical and nonmedical imaging tasks, such as object detection, segmentation, and classification. However, DL faces the issue of explainability, which prohibits reliable utilisation in everyday clinical practice. This study evaluates DL methods for their efficiency in revealing and suggesting potential image biomarkers. Eleven biomedical image datasets of various modalities are utilised, including SPECT, CT, photographs, microscopy, and X-ray. Seven state-of-the-art CNNs are employed and tuned to perform image classification in tasks. The main conclusion of the research is that DL reveals potential biomarkers in several cases, especially when the models are trained from scratch in domains where low-level features such as shapes and edges are not enough to make decisions. Furthermore, in some cases, device acquisition variations slightly affect the performance of DL models. © 2022 by the authors.","biomarkers; deep learning; feature extraction; medical imaging","area under the curve; Article; classification algorithm; clinical article; computer assisted tomography; congenital skin disease; convolutional neural network; coronary artery disease; coronavirus disease 2019; data mining; deep learning; diagnostic accuracy; diagnostic imaging; diagnostic value; disease marker; feature extraction; gradient weighted class activation mapping; human; image processing; lung nodule; myocardial perfusion imaging; photography; positron emission tomography-computed tomography; prostate cancer; radiography; residual neural network; sensitivity and specificity; single photon emission computed tomography; skin cancer","Second Call for H.F.R.I., (3656); Hellenic Foundation for Research and Innovation, ΕΛ.ΙΔ.Ε.Κ","Multidisciplinary Digital Publishing Institute (MDPI)","","2-s2.0-85140777302"
"","","","30th International Conference on Neural Information Processing, ICONIP 2023","1965 CCIS","","","","","3459","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178596621&partnerID=40&md5=19f437f49d9e65ba67b8d9c5dfb5867d","The proceedings contain 256 papers. The special focus in this conference is on Neural Information Processing. The topics include: RPUC: Semi-supervised 3D Biomedical Image Segmentation Through Rectified Pyramid Unsupervised Consistency; a Causality-Based Interpretable Cognitive Diagnosis Model; a Deep Learning Framework with Pruning RoI Proposal for Dental Caries Detection in Panoramic X-ray Images; ensemble of Randomized Neural Network and Boosted Trees for Eye-Tracking-Based Driver Situation Awareness Recognition and Interpretation; task Scheduling with Improved Particle Swarm Optimization in Cloud Data Center; Naturalistic Emotion Recognition Using EEG and Eye Movements; A DNN-Based Learning Framework for Continuous Movements Segmentation; RPF3D: Range-Pillar Feature Deep Fusion 3D Detector for Autonomous Driving; CMCI: A Robust Multimodal Fusion Method for Spiking Neural Networks; neighborhood Learning for Artificial Bee Colony Algorithm: A Mini-survey; channel Attention Separable Convolution Network for Skin Lesion Segmentation; correlated Online k-Nearest Neighbors Regressor Chain for Online Multi-output Regression; neural-Symbolic Recommendation with Graph-Enhanced Information; evolutionary Computation for Berth Allocation Problems: A Survey; user Stance Aware Network for Rumor Detection Using Semantic Relation Inference and Temporal Graph Convolution; multi-task Learning Network for Automatic Pancreatic Tumor Segmentation and Classification with Inter-Network Channel Feature Fusion; Fast and Efficient Brain Extraction with Recursive MLP Based 3D UNet; privacy-Preserving Travel Time Prediction for Internet of Vehicles: A Crowdsensing and Federated Learning Approach; block-Matching Multi-pedestrian Tracking; An Improved Target Searching and Imaging Method for CSAR; RMPE:Reducing Residual Membrane Potential Error for Enabling High-Accuracy and Ultra-low-latency Spiking Neural Networks; A Fine-Grained Domain Adaptation Method for Cross-Session Vigilance Estimation in SSVEP-Based BCI; a Hip-Knee Joint Coordination Evaluation System in Hemiplegic Individuals Based on Cyclogram Analysis; domain-Invariant Task Optimization for Cross-domain Recommendation; FLDNet: A Foreground-Aware Network for Polyp Segmentation Leveraging Long-Distance Dependencies; contrastive Hierarchical Gating Networks for Rating Prediction; preface.","","","","Springer Science and Business Media Deutschland GmbH","","2-s2.0-85178596621"
"Zidane M.; Makky A.; Bruhns M.; Rochwarger A.; Babaei S.; Claassen M.; Schürch C.M.","Zidane, Mohammed (58251599200); Makky, Ahmad (58076474600); Bruhns, Matthias (58534904300); Rochwarger, Alexander (58096322800); Babaei, Sepideh (57221709578); Claassen, Manfred (26640261400); Schürch, Christian M. (26642210200)","58251599200; 58076474600; 58534904300; 58096322800; 57221709578; 26640261400; 26642210200","Corrigendum: A review on deep learning applications in highly multiplexed tissue imaging data analysis (Front. Bioinform., (2023), 3, 1159381, 10.3389/fbinf.2023.1159381)","3","","1287407","","","","10.3389/fbinf.2023.1287407","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174854913&doi=10.3389%2ffbinf.2023.1287407&partnerID=40&md5=0fd80dad07ad512a9fc94f4ad14f9ff2","In the published article, there was an error. “The abstract is duplicated.” A correction has been made to Abstract. This sentence previously stated: “Since its introduction into the field of oncology, deep learning (DL) has impacted clinical discoveries and biomarker predictions. DL-driven discoveries and predictions in oncology are based on a variety of biological data such as genomics, proteomics, and imaging data. DL-based computational frameworks can predict genetic variant effects on gene expression, as well as protein structures based on amino acid sequences. Furthermore, DL algorithms can capture valuable mechanistic biological information from several spatial “omics” technologies, such as spatial transcriptomics and spatial proteomics. Here, we review the impact that the combination of artificial intelligence (AI) with spatial omics technologies has had on oncology, focusing on DL and its applications in biomedical image analysis, encompassing cell segmentation, cell phenotype identification, cancer prognostication, and therapy prediction. We highlight the advantages of using highly multiplexed images (spatial proteomics data) compared to single-stained, conventional histopathological (“simple”) images, as the former can provide deep mechanistic insights that cannot be obtained by the latter, even with the aid of explainable AI. Furthermore, we provide the reader with the advantages/disadvantages of DL-based pipelines used in preprocessing highly multiplexed images (cell segmentation, cell type annotation). Therefore, this review also guides the reader to choose the DLbased pipeline that best fits their data. In conclusion, DL continues to be established as an essential tool in discovering novel biological mechanisms when combined with technologies such as highly multiplexed tissue imaging data. In balance with conventional medical data, its role in clinical routine will become more important, supporting diagnosis and prognosis in oncology, enhancing clinical decision-making, and improving the quality of care for patients. Since its introduction into the field of oncology, deep learning (DL) has impacted clinical discoveries and biomarker predictions. DL-driven discoveries and predictions in oncology are based on a variety of biological data such as genomics, proteomics, and imaging data. DL-based computational frameworks can predict genetic variant effects on gene expression, as well as protein structures based on amino acid sequences. Furthermore, DL algorithms can capture valuable mechanistic biological information from several spatial “omics” technologies, such as spatial transcriptomics and spatial proteomics. Here, we review the impact that the combination of artificial intelligence (AI) with spatial omics technologies has had on oncology, focusing on DL and its applications in biomedical image analysis, encompassing cell segmentation, cell phenotype identification, cancer prognostication, and therapy prediction. We highlight the advantages of using highly multiplexed images (spatial proteomics data) compared to single-stained, conventional histopathological (“simple”) images, as the former can provide deep mechanistic insights that cannot be obtained by the latter, even with the aid of explainable AI. Furthermore, we provide the reader with the advantages/ disadvantages of the DL-based pipelines used in preprocessing the highly multiplexed images (cell segmentation, cell type annotation). Therefore, this review also guides the reader to choose the DL-based pipeline that best fits their data. In conclusion, DL continues to be established as an essential tool in discovering novel biological mechanisms when combined with technologies such as highly multiplexed tissue imaging data. In balance with conventional medical data, its role in clinical routine will become more important, supporting diagnosis and prognosis in oncology, enhancing clinical decision-making, and improving the quality of care for patients.” The corrected sentence appears below: “Since its introduction into the field of oncology, deep learning (DL) has impacted clinical discoveries and biomarker predictions. DL-driven discoveries and predictions in oncology are based on a variety of biological data such as genomics, proteomics, and imaging data. DL-based computational frameworks can predict genetic variant effects on gene expression, as well as protein structures based on amino acid sequences. Furthermore, DL algorithms can capture valuable mechanistic biological information from several spatial “omics” technologies, such as spatial transcriptomics and spatial proteomics. Here, we review the impact that the combination of artificial intelligence (AI) with spatial omics technologies has had on oncology, focusing on DL and its applications in biomedical image analysis, encompassing cell segmentation, cell phenotype identification, cancer prognostication, and therapy prediction. We highlight the advantages of using highly multiplexed images (spatial proteomics data) compared to single-stained, conventional histopathological (“simple”) images, as the former can provide deep mechanistic insights that cannot be obtained by the latter, even with the aid of explainable AI. Furthermore, we provide the reader with the advantages/disadvantages of DL-based pipelines used in preprocessing highly multiplexed images (cell segmentation, cell type annotation). Therefore, this review also guides the reader to choose the DL-based pipeline that best fits their data. In conclusion, DL continues to be established as an essential tool in discovering novel biological mechanisms when combined with technologies such as highly multiplexed tissue imaging data. In balance with conventional medical data, its role in clinical routine will become more important, supporting diagnosis and prognosis in oncology, enhancing clinical decision-making, and improving the quality of care for patients.” In the published article, there was an error. “the word ‘recently’ is repeated.” A correction has been made to Applications in highly multiplexed images, [paragraph 3]. This sentence previously stated: “Recently, Graph Neural Networks (GNNs) (Scarselli et al., 2009) were recently used to model the TME.” The corrected sentence appears below: “Recently, Graph Neural Networks (GNNs) (Scarselli et al., 2009) were used to model the TME.” In the published article, there was an error. “the term ‘convolutional neural network’ is repeated”. A correction has been made to Applications in conventional medical (“simple”) images, [paragraph 5]. This sentence previously stated: “The DL-based framework consists of two neural networks: a convolutional neural network: a convolutional neural network CNN (pre-trained GoogleNet on ImageNet), which was trained on the CT scans to extract the important features from lesions of different organs, and a recurrent neural network RNN which learned the changes happening in these lesions across multiple time points.” The corrected sentence appears below: “The DL-based framework consists of two neural networks: a convolutional neural network CNN (pre-trained GoogleNet on ImageNet), which was trained on the CT scans to extract the important features from lesions of different organs, and a recurrent neural network RNN which learned the changes happening in these lesions across multiple time points.” In the published article, there was an error. “two references are not written as a hyperlink; it is just a number that you cannot click on”. A correction has been made to reference (148) in Table 1 is not a hyperlink and reference (171) in Table 3. Both references are written as numbers not as hyperlinks. This sentence previously stated: “Could be combined with TrackMate (148) for cell tracking in Table 1.” “Map snRNA-seq data to spatial data of different resolutions, ISH associated with histological and anatomical coordinates, midresolution Spatial Transcriptomics, and high-resolution STARmap (171) and MERFISH in Table 3.” The corrected sentence appears below: “They should be hyperlinks.” The authors apologize for these errors and state that this does not change the scientific conclusions of the article in any way. The original article has been updated. Copyright © 2023 Zidane, Makky, Bruhns, Rochwarger, Babaei, Claassen and Schürch.","artificial intelligence; biomarker; cancer; deep learning; highly multiplexed tissue imaging; prediction; review; spatial transcriptomics","","","Frontiers Media SA","","2-s2.0-85174854913"
"Woessner A.E.; Anjum U.; Salman H.; Lear J.; Turner J.T.; Campbell R.; Beaudry L.; Zhan J.; Cornett L.E.; Gauch S.; Quinn K.P.","Woessner, Alan E. (57202230415); Anjum, Usman (57367380200); Salman, Hadi (57526140800); Lear, Jacob (58848242400); Turner, Jeffrey T. (59233896100); Campbell, Ross (57204853222); Beaudry, Laura (59231463000); Zhan, Justin (59233555300); Cornett, Lawrence E. (7004305090); Gauch, Susan (6602196195); Quinn, Kyle P. (16647213500)","57202230415; 57367380200; 57526140800; 58848242400; 59233896100; 57204853222; 59231463000; 59233555300; 7004305090; 6602196195; 16647213500","Identifying and training deep learning neural networks on biomedical-related datasets","25","","bbae232","","","","10.1093/bib/bbae232","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199492909&doi=10.1093%2fbib%2fbbae232&partnerID=40&md5=aaa77e45465e75e2c5cea912d90afc82","This manuscript describes the development of a resources module that is part of a learning platform named ‘NIGMS Sandbox for Cloud-based Learning’ https://github.com/NIGMS/NIGMS-Sandbox. The overall genesis of the Sandbox is described in the editorial NIGMS Sandbox at the beginning of this Supplement. This module delivers learning materials on implementing deep learning algorithms for biomedical image data in an interactive format that uses appropriate cloud resources for data access and analyses. Biomedical-related datasets are widely used in both research and clinical settings, but the ability for professionally trained clinicians and researchers to interpret datasets becomes difficult as the size and breadth of these datasets increases. Artificial intelligence, and specifically deep learning neural networks, have recently become an important tool in novel biomedical research. However, use is limited due to their computational requirements and confusion regarding different neural network architectures. The goal of this learning module is to introduce types of deep learning neural networks and cover practices that are commonly used in biomedical research. This module is subdivided into four submodules that cover classification, augmentation, segmentation and regression. Each complementary submodule was written on the Google Cloud Platform and contains detailed code and explanations, as well as quizzes and challenges to facilitate user training. Overall, the goal of this learning module is to enable users to identify and integrate the correct type of neural network with their data while highlighting the ease-of-use of cloud computing for implementing neural networks. This manuscript describes the development of a resource module that is part of a learning platform named “NIGMS Sandbox for Cloud-based Learning” https://github.com/NIGMS/NIGMS-Sandbox. The overall genesis of the Sandbox is described in the editorial NIGMS Sandbox [1] at the beginning of this Supplement. This module delivers learning materials on the analysis of bulk and single-cell ATACseq data in an interactive format that uses appropriate cloud resources for data access and analyses. © The Author(s) 2024. Published by Oxford University Press.","artificial intelligence; biomedical research; cloud-based computing; deep learning; engineering education","Algorithms; Biomedical Research; Cloud Computing; Deep Learning; Humans; Neural Networks, Computer; algorithm; artificial neural network; cloud computing; deep learning; human; medical research","National Institute of General Medical Sciences, NIGMS, (3P20GM103429-21S2); National Institute of General Medical Sciences, NIGMS; Arkansas Integrative Metabolic Research Center, (P20GM139768); National Institutes of Health, NIH, (R01AG056560, R01EB031032); National Institutes of Health, NIH","Oxford University Press","39041915","2-s2.0-85199492909"
"","","","30th International Conference on Neural Information Processing, ICONIP 2023","1967 CCIS","","","","","3459","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180334873&partnerID=40&md5=16d85a38e9dcfbace5d1b62acb39bd6e","The proceedings contain 256 papers. The special focus in this conference is on Neural Information Processing. The topics include: RPUC: Semi-supervised 3D Biomedical Image Segmentation Through Rectified Pyramid Unsupervised Consistency; a Causality-Based Interpretable Cognitive Diagnosis Model; a Deep Learning Framework with Pruning RoI Proposal for Dental Caries Detection in Panoramic X-ray Images; ensemble of Randomized Neural Network and Boosted Trees for Eye-Tracking-Based Driver Situation Awareness Recognition and Interpretation; task Scheduling with Improved Particle Swarm Optimization in Cloud Data Center; Naturalistic Emotion Recognition Using EEG and Eye Movements; A DNN-Based Learning Framework for Continuous Movements Segmentation; RPF3D: Range-Pillar Feature Deep Fusion 3D Detector for Autonomous Driving; CMCI: A Robust Multimodal Fusion Method for Spiking Neural Networks; neighborhood Learning for Artificial Bee Colony Algorithm: A Mini-survey; channel Attention Separable Convolution Network for Skin Lesion Segmentation; correlated Online k-Nearest Neighbors Regressor Chain for Online Multi-output Regression; neural-Symbolic Recommendation with Graph-Enhanced Information; evolutionary Computation for Berth Allocation Problems: A Survey; user Stance Aware Network for Rumor Detection Using Semantic Relation Inference and Temporal Graph Convolution; multi-task Learning Network for Automatic Pancreatic Tumor Segmentation and Classification with Inter-Network Channel Feature Fusion; Fast and Efficient Brain Extraction with Recursive MLP Based 3D UNet; privacy-Preserving Travel Time Prediction for Internet of Vehicles: A Crowdsensing and Federated Learning Approach; block-Matching Multi-pedestrian Tracking; An Improved Target Searching and Imaging Method for CSAR; RMPE:Reducing Residual Membrane Potential Error for Enabling High-Accuracy and Ultra-low-latency Spiking Neural Networks; A Fine-Grained Domain Adaptation Method for Cross-Session Vigilance Estimation in SSVEP-Based BCI; a Hip-Knee Joint Coordination Evaluation System in Hemiplegic Individuals Based on Cyclogram Analysis; domain-Invariant Task Optimization for Cross-domain Recommendation; FLDNet: A Foreground-Aware Network for Polyp Segmentation Leveraging Long-Distance Dependencies; contrastive Hierarchical Gating Networks for Rating Prediction; preface.","","","","Springer Science and Business Media Deutschland GmbH","","2-s2.0-85180334873"
"Valanarasu J.M.J.; Sindagi V.A.; Hacihaliloglu I.; Patel V.M.","Valanarasu, Jeya Maria Jose (57219450328); Sindagi, Vishwanath A. (56829595000); Hacihaliloglu, Ilker (24467768400); Patel, Vishal M. (56660008900)","57219450328; 56829595000; 24467768400; 56660008900","KiU-Net: Overcomplete Convolutional Architectures for Biomedical Image and Volumetric Segmentation","41","4","","965","976","11","10.1109/TMI.2021.3130469","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120042907&doi=10.1109%2fTMI.2021.3130469&partnerID=40&md5=eefa38c45acc8d157806cf40dddf3b17","Most methods for medical image segmentation use U-Net or its variants as they have been successful in most of the applications. After a detailed analysis of these 'traditional' encoder-decoder based approaches, we observed that they perform poorly in detecting smaller structures and are unable to segment boundary regions precisely. This issue can be attributed to the increase in receptive field size as we go deeper into the encoder. The extra focus on learning high level features causes U-Net based approaches to learn less information about low-level features which are crucial for detecting small structures. To overcome this issue, we propose using an overcomplete convolutional architecture where we project the input image into a higher dimension such that we constrain the receptive field from increasing in the deep layers of the network. We design a new architecture for im- age segmentation- KiU-Net which has two branches: (1) an overcomplete convolutional network Kite-Net which learns to capture fine details and accurate edges of the input, and (2) U-Net which learns high level features. Furthermore, we also propose KiU-Net 3D which is a 3D convolutional architecture for volumetric segmentation. We perform a detailed study of KiU-Net by performing experiments on five different datasets covering various image modalities. We achieve a good performance with an additional benefit of fewer parameters and faster convergence. We also demonstrate that the extensions of KiU-Net based on residual blocks and dense blocks result in further performance improvements. Code: https://github.com/jeya-maria-jose/KiU-Net-pytorch © 1982-2012 IEEE.","deep learning; Medical image segmentation; overcomplete representations","Image Processing, Computer-Assisted; Neural Networks, Computer; Computer architecture; Convolution; Deep learning; Diagnosis; Image segmentation; Medical imaging; Network architecture; Network layers; Signal encoding; Three dimensional displays; Deep learning; Features extraction; Images segmentations; Learn+; Medical diagnostic imaging; Medical image segmentation; Over-complete; Over-complete representations; Three-dimensional display; Volumetric segmentations; Article; clinical article; convolutional neural network; deep learning; echoencephalography; feature extraction; glioblastoma; glioma; human; image processing; image segmentation; liver tumor; neuroanatomy; newborn; nuclear magnetic resonance imaging; qualitative analysis; quantitative analysis; receptive field; segmentation algorithm; image processing; procedures; Feature extraction","","Institute of Electrical and Electronics Engineers Inc.","34813472","2-s2.0-85120042907"
"Khan R.U.; Almakdi S.; Alshehri M.; Haq A.U.; Ullah A.; Kumar R.","Khan, Riaz Ullah (57202445169); Almakdi, Sultan (57211498975); Alshehri, Mohammed (57210193521); Haq, Amin Ul (59157731200); Ullah, Aman (57208471108); Kumar, Rajesh (58488212700)","57202445169; 57211498975; 57210193521; 59157731200; 57208471108; 58488212700","An intelligent neural network model to detect red blood cells for various blood structure classification in microscopic medical images","10","4","e26149","","","","10.1016/j.heliyon.2024.e26149","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187303011&doi=10.1016%2fj.heliyon.2024.e26149&partnerID=40&md5=adad2207a4666da4c8a5340283f9cd09","Biomedical image analysis plays a crucial role in enabling high-performing imaging and various clinical applications. For the proper diagnosis of blood diseases related to red blood cells, red blood cells must be accurately identified and categorized. Manual analysis is time-consuming and prone to mistakes. Analyzing multi-label samples, which contain clusters of cells, is challenging due to difficulties in separating individual cells, such as touching or overlapping cells. High-performance biomedical imaging and several medical applications are made possible by advanced biosensors. We develop an intelligent neural network model that can automatically identify and categorize red blood cells from microscopic medical images using region-based convolutional neural networks (RCNN) and cutting-edge biosensors. Our model successfully navigates obstacles like touching or overlapping cells and accurately recognizes various blood structures. Additionally, we utilized data augmentation as a pre-processing method on microscopic images to enhance the model's computational efficiency and expand the sample size. To refine the data and eliminate noise from the dataset, we utilized the Radial Gradient Index filtering algorithm for imaging data equalization. We exhibit improved detection accuracy and a reduced model loss rate when using medical imagery datasets to apply our proposed model in comparison to existing ResNet and GoogleNet models. Our model precisely detected red blood cells in a collection of medical images with 99% training accuracy and 91.21% testing accuracy. Our proposed model outperformed earlier models like ResNet-50 and GoogleNet by 10-15%. Our results demonstrated that Artificial intelligence (AI)-assisted automated red blood cell detection has the potential to revolutionize and speed up blood cell analysis, minimizing human error and enabling early illness diagnosis. © 2024 The Author(s)","Deep learning; Image processing; Object detection; RBC detection","","University of Electronic Science and Technology of China, UESTC, (U03210068); University of Electronic Science and Technology of China, UESTC; Deanship of Scientific Research, University of Jordan, DSR, (NU/RG/SERC/12/3); Deanship of Scientific Research, University of Jordan, DSR","Elsevier Ltd","","2-s2.0-85187303011"
"Shchetinin E.Y.; Glushkova A.G.; Blinkov Y.A.","Shchetinin, Eugene Yu. (16408533100); Glushkova, Anastasia G. (57485591900); Blinkov, Yury A. (6701893186)","16408533100; 57485591900; 6701893186","On Effectiveness of the Adversarial Attacks on the Computer Systems of Biomedical Images Classification","1748 CCIS","","","91","103","12","10.1007/978-3-031-30648-8_8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161391475&doi=10.1007%2f978-3-031-30648-8_8&partnerID=40&md5=1be7cdf52aeacb41c838831351b7b3da","The problems of vulnerability of the computer systems of biomedical images classification to adversarial attacks on are investigated. The aim of the work is to study the effectiveness of the impact of various models of adversarial attacks on biomedical images and the values of control parameters of algorithms for generating their attacking versions. The effectiveness of attacks prepared using the projected gradient descent algorithm (PGD), Deep Fool (DF) algorithm and Carlini-Wagner algorithm (CW) is investigated. Experimental studies were carried out on the example of solving typical problems of medical images classification using deep neural networks VGG16, EfficientNetB2, DenseNet121, Xception, ResNet50 as well as data containing chest X-rays images and brain MRI-scan images. Our findings in this work are as follows. Deep models were very susceptible to adversarial attacks, which led to decrease of the accuracy classification of the models for all datasets. Prior to the use of adversarial methods, we achieved a classification accuracy of 93.6% for brain MRI and 99.1% for chest X-rays. During the DF attack the accuracy of the VGG16 model showed a maximum absolute decrease of 49.8% for MRI-scans, and 57.3% for chest X-rays images. The gradient descent (PGD) algorithm with the same values of malicious image disturbances is less effective than the DF and the CW adversarial attacks. VGG16 deep model is more effective in accuracy classification on considered datasets and most vulnerable to adversarial attacks among other deep models. We hope that these results would be useful to design more robust and secure medical deep learning systems. © 2023, The Author(s), under exclusive license to Springer Nature Switzerland AG.","adversarial attacks; black-box attack; brain tumor MRI-scans; chest X-ray images; deep learning; white-box attacks","Bioinformatics; Deep neural networks; Gradient methods; Image classification; Learning systems; Magnetic resonance imaging; Medical imaging; Medical problems; Adversarial attack; Black boxes; Black-box attack; Brain tumor MRI-scan; Brain tumors; Chest X-ray image; Deep learning; MRI scan; White box; White-box attack; Classification (of information)","RUDN University","Springer Science and Business Media Deutschland GmbH","","2-s2.0-85161391475"
"Mishra A.K.; Gupta I.K.; Diwan T.D.; Srivastava S.","Mishra, Awanish Kumar (57222248739); Gupta, Indresh Kumar (57188752252); Diwan, Tarun Dhar (57195319554); Srivastava, Swati (57198632001)","57222248739; 57188752252; 57195319554; 57198632001","Cervical precancerous lesion classification using quantum invasive weed optimization with deep learning on biomedical pap smear images","41","7","e13308","","","","10.1111/exsy.13308","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158055678&doi=10.1111%2fexsy.13308&partnerID=40&md5=07f0811a97227eda45c6eebe7a88a959","Biomedical imaging devices, in general, have been made and used a lot lately to examine the insides of the body during diagnostic and analytic procedures. Biomedical imaging gives accurate information about metabolites, which can be used to find and classify diseases because it is not invasive. For the study of cervical cancer (CC), the pap smear is a crucial type of biological imaging. CC is a crucial reason to enhance the rate of women's mortalities. Proper screening of pap smear images is critical for assisting in the early detection and analysis of CC. Computer-aided systems for cancerous cell recognition need well established artificial intelligence (AI) methods. In this study, we introduce an automated Cervical Precancerous Lesion Classification using Quantum Invasive Weed Optimization with Deep Learning (CPLC-QIWODL) on biomedical pap smear images. The presented CPLC-QIWODL technique examines the pap smear images for cervical cancer classification. To do so, the presented CPLC-QIWODL technique pre-processes the biomedical images using a Gabor filtering (GF) approach. Moreover, the CPLC-QIWODL technique uses a deep convolutional neural network-based SqueezeNet system for feature extraction. Furthermore, the hyperparameter tuning of the SqueezeNet methodology takes place using the QIWO technique, showing the novelty of the work. Finally, to classify CC, the deep variational autoencoder (DVAE) model is applied. The experimental result analysis of the CPLC-QIWODL technique is tested using a benchmark medical image database. Extensive comparative results demonstrated the enhanced outcomes of the CPLC-QIWODL technique over other existing algorithms, with a maximum accuracy of 99.07%. © 2023 John Wiley & Sons Ltd.","artificial intelligence; biomedical imaging; cervical cancer; metaheuristics; pap smear images","Classification (of information); Computer aided analysis; Computer aided diagnosis; Deep neural networks; Diseases; Image analysis; Image classification; Learning systems; Medical imaging; Metabolites; Biological imaging; Biomedical imaging; Cervical cancers; Imaging device; Invasive weed optimization; Learning techniques; Lesion classification; Metaheuristic; Pap smear; Pap smear images; Invasive weed optimization","","John Wiley and Sons Inc","","2-s2.0-85158055678"
